District,Mandal,Date,Min Temp (°C),Max Temp (°C)
Adilabad,Gudihathnur,04-Jul-22,23.0,32.6
Adilabad,Gudihathnur,05-Jul-22,23.7,28.2
Adilabad,Gudihathnur,06-Jul-22,23.9,30.2
Adilabad,Gudihathnur,07-Jul-22,23.6,32.1
Adilabad,Gudihathnur,08-Jul-22,23.6,31.7
Adilabad,Gudihathnur,09-Jul-22,23.1,27.5
Adilabad,Gudihathnur,10-Jul-22,22.7,25.7
Adilabad,Gudihathnur,11-Jul-22,22.8,27.4
Adilabad,Gudihathnur,12-Jul-22,22.3,25.3
Adilabad,Gudihathnur,13-Jul-22,21.8,25.4
Adilabad,Gudihathnur,14-Jul-22,21.5,25.0
Adilabad,Gudihathnur,15-Jul-22,23.3,27.6
Adilabad,Gudihathnur,16-Jul-22,23.8,32.1
Adilabad,Gudihathnur,17-Jul-22,24.4,34.4
Adilabad,Gudihathnur,18-Jul-22,23.6,27.0
Adilabad,Gudihathnur,19-Jul-22,23.7,27.7
Adilabad,Gudihathnur,20-Jul-22,23.9,31.2
Adilabad,Gudihathnur,21-Jul-22,23.6,30.8
Adilabad,Gudihathnur,22-Jul-22,25.3,28.7
Adilabad,Gudihathnur,23-Jul-22,22.8,30.4
Adilabad,Gudihathnur,24-Jul-22,23.3,26.2
Adilabad,Gudihathnur,25-Jul-22,23.9,27.9
Adilabad,Gudihathnur,26-Jul-22,24.1,29.8
Adilabad,Gudihathnur,27-Jul-22,23.3,27.9
Adilabad,Gudihathnur,28-Jul-22,24.6,32.3
Adilabad,Gudihathnur,29-Jul-22,24.0,31.2
Adilabad,Gudihathnur,30-Jul-22,24.7,30.5
Adilabad,Gudihathnur,31-Jul-22,25.8,33.0
Adilabad,Ichoda,01-Jul-22,23.3,33.8
Adilabad,Ichoda,02-Jul-22,23.6,32.9
Adilabad,Ichoda,03-Jul-22,23.4,32.6
Adilabad,Ichoda,04-Jul-22,22.6,31.7
Adilabad,Ichoda,05-Jul-22,24.2,28.4
Adilabad,Ichoda,06-Jul-22,23.5,31.0
Adilabad,Ichoda,07-Jul-22,22.9,29.4
Adilabad,Ichoda,08-Jul-22,23.7,32.1
